"label","accuracy"
"AFDA 20258 - Establishment",0.882352941176471
"AFDA 20270 - Government Relations",0.947368421052632
"AFDA 20317 - Procurement",0.928571428571429
"AFDA 20330 - Publication",0.307692307692308
"AFDA 20336 - Publication",0.7
"AFDA 20337 - Publication",0.862068965517241
"AFDA 20339 - Staff Development",0.717948717948718
"AFDA 20340 (RNA) - Strategic Management",0.818181818181818
"AFDA 20342 (D7) - Strategic Management",0.789473684210526
"AFDA 20344 - Technology and Communications",0.918918918918919
"AFDA 20443 - Community Relations",0.857142857142857
"AFDA 20445 (D10) - Information Management",0.75
"AFDA 20448 (D7) - Information Management",1
"AFDA V2 62385 (D3) - Financial Management",0.833333333333333
"AFDA V2 62386 - Financial Management",0.941176470588235
"AFDA V2 62411 - Legal Services",0.945205479452055
"AHRC 1802 - Complaints Handling",0.866666666666667
"AHRC 1803 - Complaints Handling",0.833333333333333
"AHRC 1804 - Complaint Handling",1
"AHRC 1805 - Complaints Handling",0.6
"AHRC 1806 - Human Rights Compliance",0.25
"AHRC 1807 - Human Rights Compliance",0.931034482758621
"AHRC 1808 - Human Rights Compliance",1
"AHRC 1809 - Human Rights Compliance",0.571428571428571
"AHRC 1810 - Human Rights Compliance",0.82051282051282
"AHRC 1811 - Public Awareness and Education",0.96
"AHRC 1813 - Public Awareness and Education",0.666666666666667
"AHRC 1814 - Public Awareness and Education",0.773333333333333
"AHRC 1815 - Public Awareness and Education",0.333333333333333
