"label","accuracy"
"AFDA 20258 - Establishment",0.911764705882353
"AFDA 20270 - Government Relations",0.941520467836257
"AFDA 20317 - Procurement",0.957142857142857
"AFDA 20330 - Publication",0.153846153846154
"AFDA 20336 - Publication",0.9
"AFDA 20337 - Publication",0.862068965517241
"AFDA 20339 - Staff Development",0.794871794871795
"AFDA 20340 (RNA) - Strategic Management",0.636363636363636
"AFDA 20342 (D7) - Strategic Management",0.736842105263158
"AFDA 20344 - Technology and Communications",0.918918918918919
"AFDA 20443 - Community Relations",0.942857142857143
"AFDA 20445 (D10) - Information Management",0.75
"AFDA 20448 (D7) - Information Management",1
"AFDA V2 62385 (D3) - Financial Management",0.833333333333333
"AFDA V2 62386 - Financial Management",0.92436974789916
"AFDA V2 62411 - Legal Services",0.897260273972603
"AHRC 1802 - Complaints Handling",0.866666666666667
"AHRC 1803 - Complaints Handling",0.833333333333333
"AHRC 1804 - Complaint Handling",1
"AHRC 1805 - Complaints Handling",0.6
"AHRC 1806 - Human Rights Compliance",0
"AHRC 1807 - Human Rights Compliance",0.862068965517241
"AHRC 1808 - Human Rights Compliance",1
"AHRC 1809 - Human Rights Compliance",0.476190476190476
"AHRC 1810 - Human Rights Compliance",0.743589743589744
"AHRC 1811 - Public Awareness and Education",0.964444444444444
"AHRC 1813 - Public Awareness and Education",0.642857142857143
"AHRC 1814 - Public Awareness and Education",0.786666666666667
"AHRC 1815 - Public Awareness and Education",0.5
