"label","accuracy"
"AFDA 20258 - Establishment",0.941176470588235
"AFDA 20270 - Government Relations",0.929824561403509
"AFDA 20317 - Procurement",0.928571428571429
"AFDA 20330 - Publication",0.307692307692308
"AFDA 20336 - Publication",0.7
"AFDA 20337 - Publication",0.827586206896552
"AFDA 20339 - Staff Development",0.794871794871795
"AFDA 20340 (RNA) - Strategic Management",0.636363636363636
"AFDA 20342 (D7) - Strategic Management",0.842105263157895
"AFDA 20344 - Technology and Communications",0.945945945945946
"AFDA 20443 - Community Relations",0.942857142857143
"AFDA 20445 (D10) - Information Management",0.75
"AFDA 20448 (D7) - Information Management",1
"AFDA V2 62385 (D3) - Financial Management",0.833333333333333
"AFDA V2 62386 - Financial Management",0.92436974789916
"AFDA V2 62411 - Legal Services",0.952054794520548
"AHRC 1802 - Complaints Handling",0.866666666666667
"AHRC 1803 - Complaints Handling",0.833333333333333
"AHRC 1804 - Complaint Handling",1
"AHRC 1805 - Complaints Handling",0.6
"AHRC 1806 - Human Rights Compliance",0
"AHRC 1807 - Human Rights Compliance",0.931034482758621
"AHRC 1808 - Human Rights Compliance",1
"AHRC 1809 - Human Rights Compliance",0.428571428571429
"AHRC 1810 - Human Rights Compliance",0.82051282051282
"AHRC 1811 - Public Awareness and Education",0.96
"AHRC 1813 - Public Awareness and Education",0.571428571428571
"AHRC 1814 - Public Awareness and Education",0.813333333333333
"AHRC 1815 - Public Awareness and Education",0.416666666666667
