,AFDA 20258 - Establishment,AFDA 20270 - Government Relations,AFDA 20317 - Procurement,AFDA 20330 - Publication,AFDA 20336 - Publication,AFDA 20337 - Publication,AFDA 20339  - Staff Development,AFDA 20340 (RNA) - Strategic Management,AFDA 20342 (D7)  - Strategic Management,AFDA 20344 - Technology and Communications,AFDA 20443 - Community Relations,AFDA 20445 (D10) - Information Management,AFDA 20448 (D7) - Information Management,AFDA V2 62385 (D3) - Financial Management,AFDA V2 62386 - Financial Management,AFDA V2 62411 - Legal Services,AHRC 1802 - Complaints Handling,AHRC 1803 - Complaints Handling,AHRC 1804 - Complaint Handling,AHRC 1805 - Complaints Handling,AHRC 1806 - Human Rights Complaince,AHRC 1807 - Human Rights Compliance,AHRC 1808 - Human Rights Compliance,AHRC 1809 - Human Rights Compliance,AHRC 1810 - Human Rights Complaince,AHRC 1811 - Public Awareness and Education,AHRC 1813 - Public Awareness and Education,AHRC 1814 - Public Awareness and Education,AHRC 1815 - Public Awareness and Education
AFDA 20258 - Establishment,29,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
AFDA 20270 - Government Relations,1,100,1,4,10,2,0,0,2,0,3,1,0,0,6,1,0,0,3,1,0,1,1,9,6,3,5,9,2
AFDA 20317 - Procurement,0,0,42,1,1,3,0,1,0,2,0,0,3,1,1,1,3,0,0,1,0,1,1,1,2,0,0,1,4
AFDA 20330 - Publication,1,0,1,2,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0
AFDA 20336 - Publication,1,0,1,2,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AFDA 20337 - Publication,0,0,2,1,0,16,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0
AFDA 20339  - Staff Development,0,0,1,2,2,0,12,1,0,3,2,0,2,3,0,1,0,1,0,0,0,0,2,0,2,0,1,1,3
AFDA 20340 (RNA) - Strategic Management,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
AFDA 20342 (D7)  - Strategic Management,0,0,0,0,0,2,0,1,6,1,0,0,0,0,0,0,0,0,0,1,2,2,2,0,1,0,0,0,1
AFDA 20344 - Technology and Communications,0,0,3,0,3,0,4,0,0,14,1,0,1,3,3,0,1,0,1,0,0,0,0,0,1,0,1,0,1
AFDA 20443 - Community Relations,0,1,2,4,2,1,0,0,1,1,3,1,2,0,1,2,3,0,1,1,0,0,2,1,1,0,2,3,0
AFDA 20445 (D10) - Information Management,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDA 20448 (D7) - Information Management,1,0,1,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
AFDA V2 62385 (D3) - Financial Management,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AFDA V2 62386 - Financial Management,2,1,17,4,2,1,2,4,0,7,0,0,4,4,44,2,1,0,0,0,0,2,0,4,11,1,2,2,2
AFDA V2 62411 - Legal Services,2,1,4,13,7,10,2,4,4,0,7,1,0,3,3,22,3,2,2,3,3,4,3,3,7,0,23,2,8
AHRC 1802 - Complaints Handling,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,1,0,0
AHRC 1803 - Complaints Handling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
AHRC 1804 - Complaint Handling,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AHRC 1805 - Complaints Handling,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0
AHRC 1806 - Human Rights Complaince,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
AHRC 1807 - Human Rights Compliance,0,1,2,3,0,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,8,0,2,0,0,2,0,2
AHRC 1808 - Human Rights Compliance,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
AHRC 1809 - Human Rights Compliance,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,4,1,4,4,0,0,1,0
AHRC 1810 - Human Rights Complaince,0,0,2,0,2,0,0,0,1,1,1,1,2,2,1,0,0,0,0,1,0,1,0,2,16,0,1,3,2
AHRC 1811 - Public Awareness and Education,1,10,5,8,14,8,7,5,6,1,1,1,2,2,1,10,4,0,4,4,1,5,0,12,27,9,18,30,29
AHRC 1813 - Public Awareness and Education,0,0,0,5,2,3,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,2,1,0,3,0,14,5,1
AHRC 1814 - Public Awareness and Education,0,1,1,1,3,1,2,1,0,0,0,0,0,1,0,1,3,0,2,6,0,0,3,1,4,0,8,31,5
AHRC 1815 - Public Awareness and Education,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
