,AFDA 20258 - Establishment,AFDA 20270 - Government Relations,AFDA 20317 - Procurement,AFDA 20330 - Publication,AFDA 20336 - Publication,AFDA 20337 - Publication,AFDA 20339  - Staff Development,AFDA 20340 (RNA) - Strategic Management,AFDA 20342 (D7)  - Strategic Management,AFDA 20344 - Technology and Communications,AFDA 20443 - Community Relations,AFDA 20445 (D10) - Information Management,AFDA 20448 (D7) - Information Management,AFDA V2 62385 (D3) - Financial Management,AFDA V2 62386 - Financial Management,AFDA V2 62411 - Legal Services,AHRC 1802 - Complaints Handling,AHRC 1803 - Complaints Handling,AHRC 1804 - Complaint Handling,AHRC 1805 - Complaints Handling,AHRC 1806 - Human Rights Complaince,AHRC 1807 - Human Rights Compliance,AHRC 1808 - Human Rights Compliance,AHRC 1809 - Human Rights Compliance,AHRC 1810 - Human Rights Complaince,AHRC 1811 - Public Awareness and Education,AHRC 1813 - Public Awareness and Education,AHRC 1814 - Public Awareness and Education,AHRC 1815 - Public Awareness and Education
AFDA 20258 - Establishment,29,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AFDA 20270 - Government Relations,0,149,0,1,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,4,1,7,0
AFDA 20317 - Procurement,0,1,41,0,0,1,0,2,0,0,0,0,4,1,9,2,0,1,0,0,1,1,0,1,0,2,1,2,0
AFDA 20330 - Publication,0,3,0,3,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
AFDA 20336 - Publication,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0
AFDA 20337 - Publication,0,1,0,0,0,20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0
AFDA 20339  - Staff Development,0,0,2,1,0,1,8,0,0,5,3,0,1,1,4,2,1,0,1,0,0,0,0,2,4,1,0,0,2
AFDA 20340 (RNA) - Strategic Management,0,1,1,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AFDA 20342 (D7)  - Strategic Management,0,0,0,2,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,0,1,0,0
AFDA 20344 - Technology and Communications,1,0,2,0,0,2,1,0,0,16,1,0,4,2,1,0,2,0,1,0,0,0,0,0,1,1,1,1,0
AFDA 20443 - Community Relations,0,1,1,4,0,3,2,0,2,0,5,0,1,1,1,3,0,1,1,1,1,1,1,0,0,0,2,3,0
AFDA 20445 (D10) - Information Management,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDA 20448 (D7) - Information Management,0,0,0,0,1,0,0,0,0,3,0,0,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AFDA V2 62385 (D3) - Financial Management,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDA V2 62386 - Financial Management,0,5,1,0,0,1,1,1,0,4,0,0,1,3,89,0,0,0,0,0,0,2,2,1,7,0,0,0,1
AFDA V2 62411 - Legal Services,0,2,2,5,1,2,8,2,0,0,2,0,0,0,3,95,2,0,4,0,1,0,3,1,2,0,4,4,3
AHRC 1802 - Complaints Handling,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,2,0,0,0,1
AHRC 1803 - Complaints Handling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
AHRC 1804 - Complaint Handling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1
AHRC 1805 - Complaints Handling,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1
AHRC 1806 - Human Rights Complaince,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
AHRC 1807 - Human Rights Compliance,0,3,0,4,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,0,1,0,1,1,0,0
AHRC 1808 - Human Rights Compliance,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0
AHRC 1809 - Human Rights Compliance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,9,3,0,1,0,0
AHRC 1810 - Human Rights Complaince,0,2,2,1,1,1,1,0,1,1,0,0,0,1,1,0,3,0,0,0,1,0,0,1,17,1,0,3,1
AHRC 1811 - Public Awareness and Education,0,5,3,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,198,5,6,2
AHRC 1813 - Public Awareness and Education,0,6,2,2,1,1,2,0,1,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,14,7,0
AHRC 1814 - Public Awareness and Education,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,6,10,47,4
AHRC 1815 - Public Awareness and Education,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
