"label","accuracy"
"AFDA 20258 - Establishment",0.794117647058823
"AFDA 20270 - Government Relations",0.87719298245614
"AFDA 20317 - Procurement",0.8
"AFDA 20330 - Publication",0.307692307692308
"AFDA 20336 - Publication",0.3
"AFDA 20337 - Publication",0.586206896551724
"AFDA 20339 - Staff Development",0.58974358974359
"AFDA 20340 (RNA) - Strategic Management",0.0909090909090909
"AFDA 20342 (D7) - Strategic Management",0.473684210526316
"AFDA 20344 - Technology and Communications",0.648648648648649
"AFDA 20443 - Community Relations",0.485714285714286
"AFDA 20445 (D10) - Information Management",1
"AFDA 20448 (D7) - Information Management",0.733333333333333
"AFDA V2 62385 (D3) - Financial Management",0.666666666666667
"AFDA V2 62386 - Financial Management",0.848739495798319
"AFDA V2 62411 - Legal Services",0.808219178082192
"AHRC 1802 - Complaints Handling",0.6
"AHRC 1803 - Complaints Handling",1
"AHRC 1804 - Complaint Handling",0
"AHRC 1805 - Complaints Handling",0.4
"AHRC 1806 - Human Rights Compliance",0
"AHRC 1807 - Human Rights Compliance",0.517241379310345
"AHRC 1808 - Human Rights Compliance",0.625
"AHRC 1809 - Human Rights Compliance",0.428571428571429
"AHRC 1810 - Human Rights Compliance",0.512820512820513
"AHRC 1811 - Public Awareness and Education",0.897777777777778
"AHRC 1813 - Public Awareness and Education",0.404761904761905
"AHRC 1814 - Public Awareness and Education",0.706666666666667
"AHRC 1815 - Public Awareness and Education",0.5
