"label","accuracy"
"AFDA 20258 - Establishment",0.852941176470588
"AFDA 20270 - Government Relations",0.871345029239766
"AFDA 20317 - Procurement",0.585714285714286
"AFDA 20330 - Publication",0.230769230769231
"AFDA 20336 - Publication",0.1
"AFDA 20337 - Publication",0.689655172413793
"AFDA 20339 - Staff Development",0.205128205128205
"AFDA 20340 (RNA) - Strategic Management",0.454545454545455
"AFDA 20342 (D7) - Strategic Management",0.368421052631579
"AFDA 20344 - Technology and Communications",0.432432432432432
"AFDA 20443 - Community Relations",0.142857142857143
"AFDA 20445 (D10) - Information Management",1
"AFDA 20448 (D7) - Information Management",0.6
"AFDA V2 62385 (D3) - Financial Management",0.5
"AFDA V2 62386 - Financial Management",0.747899159663866
"AFDA V2 62411 - Legal Services",0.650684931506849
"AHRC 1802 - Complaints Handling",0.533333333333333
"AHRC 1803 - Complaints Handling",1
"AHRC 1804 - Complaint Handling",0
"AHRC 1805 - Complaints Handling",0.4
"AHRC 1806 - Human Rights Compliance",0.25
"AHRC 1807 - Human Rights Compliance",0.344827586206897
"AHRC 1808 - Human Rights Compliance",0.625
"AHRC 1809 - Human Rights Compliance",0.428571428571429
"AHRC 1810 - Human Rights Compliance",0.435897435897436
"AHRC 1811 - Public Awareness and Education",0.88
"AHRC 1813 - Public Awareness and Education",0.333333333333333
"AHRC 1814 - Public Awareness and Education",0.626666666666667
"AHRC 1815 - Public Awareness and Education",0.5
