"label","accuracy"
"AFDA 20258 - Establishment",0.911764705882353
"AFDA 20270 - Government Relations",0.953216374269006
"AFDA 20317 - Procurement",0.885714285714286
"AFDA 20330 - Publication",0.461538461538462
"AFDA 20336 - Publication",0.3
"AFDA 20337 - Publication",0.827586206896552
"AFDA 20339 - Staff Development",0.769230769230769
"AFDA 20340 (RNA) - Strategic Management",0.454545454545455
"AFDA 20342 (D7) - Strategic Management",0.736842105263158
"AFDA 20344 - Technology and Communications",0.837837837837838
"AFDA 20443 - Community Relations",0.942857142857143
"AFDA 20445 (D10) - Information Management",1
"AFDA 20448 (D7) - Information Management",0.866666666666667
"AFDA V2 62385 (D3) - Financial Management",0.666666666666667
"AFDA V2 62386 - Financial Management",0.92436974789916
"AFDA V2 62411 - Legal Services",0.945205479452055
"AHRC 1802 - Complaints Handling",0.733333333333333
"AHRC 1803 - Complaints Handling",1
"AHRC 1804 - Complaint Handling",0.4
"AHRC 1805 - Complaints Handling",0.6
"AHRC 1806 - Human Rights Compliance",0
"AHRC 1807 - Human Rights Compliance",0.827586206896552
"AHRC 1808 - Human Rights Compliance",0.75
"AHRC 1809 - Human Rights Compliance",0.523809523809524
"AHRC 1810 - Human Rights Compliance",0.666666666666667
"AHRC 1811 - Public Awareness and Education",0.915555555555556
"AHRC 1813 - Public Awareness and Education",0.761904761904762
"AHRC 1814 - Public Awareness and Education",0.906666666666667
"AHRC 1815 - Public Awareness and Education",0.833333333333333
