"label","accuracy"
"AFDA 20258 - Establishment",0.941176470588235
"AFDA 20270 - Government Relations",0.941520467836257
"AFDA 20317 - Procurement",0.785714285714286
"AFDA 20330 - Publication",0.153846153846154
"AFDA 20336 - Publication",0.3
"AFDA 20337 - Publication",0.827586206896552
"AFDA 20339 - Staff Development",0.41025641025641
"AFDA 20340 (RNA) - Strategic Management",0.272727272727273
"AFDA 20342 (D7) - Strategic Management",0.631578947368421
"AFDA 20344 - Technology and Communications",0.675675675675676
"AFDA 20443 - Community Relations",0.542857142857143
"AFDA 20445 (D10) - Information Management",1
"AFDA 20448 (D7) - Information Management",0.8
"AFDA V2 62385 (D3) - Financial Management",1
"AFDA V2 62386 - Financial Management",0.823529411764706
"AFDA V2 62411 - Legal Services",0.86986301369863
"AHRC 1802 - Complaints Handling",0.8
"AHRC 1803 - Complaints Handling",1
"AHRC 1804 - Complaint Handling",0.2
"AHRC 1805 - Complaints Handling",0.4
"AHRC 1806 - Human Rights Compliance",0
"AHRC 1807 - Human Rights Compliance",0.586206896551724
"AHRC 1808 - Human Rights Compliance",0.875
"AHRC 1809 - Human Rights Compliance",0.428571428571429
"AHRC 1810 - Human Rights Compliance",0.512820512820513
"AHRC 1811 - Public Awareness and Education",0.928888888888889
"AHRC 1813 - Public Awareness and Education",0.666666666666667
"AHRC 1814 - Public Awareness and Education",0.666666666666667
"AHRC 1815 - Public Awareness and Education",0.5
