"label","accuracy"
"AFDA 20258 - Establishment",0.970588235294118
"AFDA 20270 - Government Relations",0.754385964912281
"AFDA 20317 - Procurement",0.757142857142857
"AFDA 20330 - Publication",0.153846153846154
"AFDA 20336 - Publication",0.4
"AFDA 20337 - Publication",0.724137931034483
"AFDA 20339 - Staff Development",0.564102564102564
"AFDA 20340 (RNA) - Strategic Management",0.181818181818182
"AFDA 20342 (D7) - Strategic Management",0.578947368421053
"AFDA 20344 - Technology and Communications",0.702702702702703
"AFDA 20443 - Community Relations",0.428571428571429
"AFDA 20445 (D10) - Information Management",1
"AFDA 20448 (D7) - Information Management",0.8
"AFDA V2 62385 (D3) - Financial Management",0.833333333333333
"AFDA V2 62386 - Financial Management",0.53781512605042
"AFDA V2 62411 - Legal Services",0.226027397260274
"AHRC 1802 - Complaints Handling",0.866666666666667
"AHRC 1803 - Complaints Handling",1
"AHRC 1804 - Complaint Handling",0.4
"AHRC 1805 - Complaints Handling",0.6
"AHRC 1806 - Human Rights Compliance",0
"AHRC 1807 - Human Rights Compliance",0.689655172413793
"AHRC 1808 - Human Rights Compliance",0.625
"AHRC 1809 - Human Rights Compliance",0.380952380952381
"AHRC 1810 - Human Rights Compliance",0.512820512820513
"AHRC 1811 - Public Awareness and Education",0.0666666666666667
"AHRC 1813 - Public Awareness and Education",0.666666666666667
"AHRC 1814 - Public Awareness and Education",0.533333333333333
"AHRC 1815 - Public Awareness and Education",0.75
