"label","accuracy"
"AFDA 20258 - Establishment",0.882352941176471
"AFDA 20270 - Government Relations",0.947368421052632
"AFDA 20317 - Procurement",0.9
"AFDA 20330 - Publication",0.230769230769231
"AFDA 20336 - Publication",0.3
"AFDA 20337 - Publication",0.827586206896552
"AFDA 20339 - Staff Development",0.666666666666667
"AFDA 20340 (RNA) - Strategic Management",0.363636363636364
"AFDA 20342 (D7) - Strategic Management",0.842105263157895
"AFDA 20344 - Technology and Communications",0.918918918918919
"AFDA 20443 - Community Relations",0.857142857142857
"AFDA 20445 (D10) - Information Management",1
"AFDA 20448 (D7) - Information Management",0.8
"AFDA V2 62385 (D3) - Financial Management",0.666666666666667
"AFDA V2 62386 - Financial Management",0.899159663865546
"AFDA V2 62411 - Legal Services",0.965753424657534
"AHRC 1802 - Complaints Handling",0.8
"AHRC 1803 - Complaints Handling",1
"AHRC 1804 - Complaint Handling",0.2
"AHRC 1805 - Complaints Handling",0.6
"AHRC 1806 - Human Rights Compliance",0
"AHRC 1807 - Human Rights Compliance",0.758620689655172
"AHRC 1808 - Human Rights Compliance",0.625
"AHRC 1809 - Human Rights Compliance",0.380952380952381
"AHRC 1810 - Human Rights Compliance",0.717948717948718
"AHRC 1811 - Public Awareness and Education",0.933333333333333
"AHRC 1813 - Public Awareness and Education",0.738095238095238
"AHRC 1814 - Public Awareness and Education",0.76
"AHRC 1815 - Public Awareness and Education",0.75
