"label","accuracy"
"AFDA 20258 - Establishment",0.911764705882353
"AFDA 20270 - Government Relations",0.859649122807018
"AFDA 20317 - Procurement",0.757142857142857
"AFDA 20330 - Publication",0.153846153846154
"AFDA 20336 - Publication",0.4
"AFDA 20337 - Publication",0.517241379310345
"AFDA 20339 - Staff Development",0.333333333333333
"AFDA 20340 (RNA) - Strategic Management",0.181818181818182
"AFDA 20342 (D7) - Strategic Management",0.473684210526316
"AFDA 20344 - Technology and Communications",0.513513513513513
"AFDA 20443 - Community Relations",0.228571428571429
"AFDA 20445 (D10) - Information Management",1
"AFDA 20448 (D7) - Information Management",0.666666666666667
"AFDA V2 62385 (D3) - Financial Management",0.666666666666667
"AFDA V2 62386 - Financial Management",0.848739495798319
"AFDA V2 62411 - Legal Services",0.821917808219178
"AHRC 1802 - Complaints Handling",0.666666666666667
"AHRC 1803 - Complaints Handling",1
"AHRC 1804 - Complaint Handling",0.2
"AHRC 1805 - Complaints Handling",0.4
"AHRC 1806 - Human Rights Compliance",0.25
"AHRC 1807 - Human Rights Compliance",0.379310344827586
"AHRC 1808 - Human Rights Compliance",0.625
"AHRC 1809 - Human Rights Compliance",0.333333333333333
"AHRC 1810 - Human Rights Compliance",0.538461538461538
"AHRC 1811 - Public Awareness and Education",0.906666666666667
"AHRC 1813 - Public Awareness and Education",0.571428571428571
"AHRC 1814 - Public Awareness and Education",0.653333333333333
"AHRC 1815 - Public Awareness and Education",0.666666666666667
