"label","accuracy"
"AFDA 20258 - Establishment",0.882352941176471
"AFDA 20270 - Government Relations",0.824561403508772
"AFDA 20317 - Procurement",0.714285714285714
"AFDA 20330 - Publication",0.307692307692308
"AFDA 20336 - Publication",0.5
"AFDA 20337 - Publication",0.586206896551724
"AFDA 20339 - Staff Development",0.230769230769231
"AFDA 20340 (RNA) - Strategic Management",0.272727272727273
"AFDA 20342 (D7) - Strategic Management",0.526315789473684
"AFDA 20344 - Technology and Communications",0.378378378378378
"AFDA 20443 - Community Relations",0.142857142857143
"AFDA 20445 (D10) - Information Management",1
"AFDA 20448 (D7) - Information Management",0.6
"AFDA V2 62385 (D3) - Financial Management",0.5
"AFDA V2 62386 - Financial Management",0.747899159663866
"AFDA V2 62411 - Legal Services",0.582191780821918
"AHRC 1802 - Complaints Handling",0.6
"AHRC 1803 - Complaints Handling",1
"AHRC 1804 - Complaint Handling",0
"AHRC 1805 - Complaints Handling",0.4
"AHRC 1806 - Human Rights Compliance",0.25
"AHRC 1807 - Human Rights Compliance",0.310344827586207
"AHRC 1808 - Human Rights Compliance",0.625
"AHRC 1809 - Human Rights Compliance",0.19047619047619
"AHRC 1810 - Human Rights Compliance",0.487179487179487
"AHRC 1811 - Public Awareness and Education",0.884444444444444
"AHRC 1813 - Public Awareness and Education",0.380952380952381
"AHRC 1814 - Public Awareness and Education",0.6
"AHRC 1815 - Public Awareness and Education",0.666666666666667
