"label","accuracy"
"AFDA 20258 - Establishment",0.882352941176471
"AFDA 20270 - Government Relations",0.631578947368421
"AFDA 20317 - Procurement",0.471428571428571
"AFDA 20330 - Publication",0.384615384615385
"AFDA 20336 - Publication",0.3
"AFDA 20337 - Publication",0.448275862068966
"AFDA 20339 - Staff Development",0.282051282051282
"AFDA 20340 (RNA) - Strategic Management",0.181818181818182
"AFDA 20342 (D7) - Strategic Management",0.421052631578947
"AFDA 20344 - Technology and Communications",0.351351351351351
"AFDA 20443 - Community Relations",0.171428571428571
"AFDA 20445 (D10) - Information Management",1
"AFDA 20448 (D7) - Information Management",0.4
"AFDA V2 62385 (D3) - Financial Management",0.5
"AFDA V2 62386 - Financial Management",0.352941176470588
"AFDA V2 62411 - Legal Services",0.171232876712329
"AHRC 1802 - Complaints Handling",0.733333333333333
"AHRC 1803 - Complaints Handling",1
"AHRC 1804 - Complaint Handling",0.2
"AHRC 1805 - Complaints Handling",0.4
"AHRC 1806 - Human Rights Compliance",0.25
"AHRC 1807 - Human Rights Compliance",0.379310344827586
"AHRC 1808 - Human Rights Compliance",0.625
"AHRC 1809 - Human Rights Compliance",0.285714285714286
"AHRC 1810 - Human Rights Compliance",0.461538461538462
"AHRC 1811 - Public Awareness and Education",0.155555555555556
"AHRC 1813 - Public Awareness and Education",0.404761904761905
"AHRC 1814 - Public Awareness and Education",0.36
"AHRC 1815 - Public Awareness and Education",0.75
