"label","accuracy"
"AFDA 20258 - Establishment",0.882352941176471
"AFDA 20270 - Government Relations",0.807017543859649
"AFDA 20317 - Procurement",0.871428571428571
"AFDA 20330 - Publication",0.538461538461538
"AFDA 20336 - Publication",0.3
"AFDA 20337 - Publication",0.931034482758621
"AFDA 20339 - Staff Development",0.846153846153846
"AFDA 20340 (RNA) - Strategic Management",0.727272727272727
"AFDA 20342 (D7) - Strategic Management",0.842105263157895
"AFDA 20344 - Technology and Communications",0.864864864864865
"AFDA 20443 - Community Relations",0.914285714285714
"AFDA 20445 (D10) - Information Management",1
"AFDA 20448 (D7) - Information Management",0.933333333333333
"AFDA V2 62385 (D3) - Financial Management",0.833333333333333
"AFDA V2 62386 - Financial Management",0.890756302521008
"AFDA V2 62411 - Legal Services",1
"AHRC 1802 - Complaints Handling",0.733333333333333
"AHRC 1803 - Complaints Handling",0.833333333333333
"AHRC 1804 - Complaint Handling",0.2
"AHRC 1805 - Complaints Handling",0.6
"AHRC 1806 - Human Rights Compliance",0
"AHRC 1807 - Human Rights Compliance",0.931034482758621
"AHRC 1808 - Human Rights Compliance",0.625
"AHRC 1809 - Human Rights Compliance",0.523809523809524
"AHRC 1810 - Human Rights Compliance",0.769230769230769
"AHRC 1811 - Public Awareness and Education",0.0888888888888889
"AHRC 1813 - Public Awareness and Education",0.738095238095238
"AHRC 1814 - Public Awareness and Education",0.853333333333333
"AHRC 1815 - Public Awareness and Education",0.583333333333333
