"label","accuracy"
"AFDA 20258 - Establishment",0.852941176470588
"AFDA 20270 - Government Relations",0.935672514619883
"AFDA 20317 - Procurement",0.9
"AFDA 20330 - Publication",0.307692307692308
"AFDA 20336 - Publication",0.4
"AFDA 20337 - Publication",0.827586206896552
"AFDA 20339 - Staff Development",0.897435897435897
"AFDA 20340 (RNA) - Strategic Management",0.727272727272727
"AFDA 20342 (D7) - Strategic Management",0.842105263157895
"AFDA 20344 - Technology and Communications",0.864864864864865
"AFDA 20443 - Community Relations",0.914285714285714
"AFDA 20445 (D10) - Information Management",1
"AFDA 20448 (D7) - Information Management",0.933333333333333
"AFDA V2 62385 (D3) - Financial Management",0.833333333333333
"AFDA V2 62386 - Financial Management",0.949579831932773
"AFDA V2 62411 - Legal Services",0.993150684931507
"AHRC 1802 - Complaints Handling",0.733333333333333
"AHRC 1803 - Complaints Handling",0.833333333333333
"AHRC 1804 - Complaint Handling",0
"AHRC 1805 - Complaints Handling",0.2
"AHRC 1806 - Human Rights Compliance",0
"AHRC 1807 - Human Rights Compliance",0.827586206896552
"AHRC 1808 - Human Rights Compliance",0.625
"AHRC 1809 - Human Rights Compliance",0.428571428571429
"AHRC 1810 - Human Rights Compliance",0.717948717948718
"AHRC 1811 - Public Awareness and Education",0.973333333333333
"AHRC 1813 - Public Awareness and Education",0.642857142857143
"AHRC 1814 - Public Awareness and Education",0.626666666666667
"AHRC 1815 - Public Awareness and Education",0.333333333333333
